day,start_time,end_time,session_type,class,batch,subject,staff_id
Wednesday,8:30:00,9:30:00,Lecture,BE,ALL,Illumination Engineering,9235
Wednesday,9:30:00,10:30:00,Lecture,BE,ALL,Illumination Engineering,9235
Wednesday,10:45:00,11:45:00,Lecture,BE,ALL,Switchgear and Protection,9921
Wednesday,11:45:00,12:45:00,Lecture,BE,ALL,Smart Grid,9865
Wednesday,13:30:00,15:30:00,Lecture,BE,ALL,TPO Activity,9235
Wednesday,15:30:00,17:00:00,Lecture,BE,ALL,Test Subject,9865
Thursday,8:30:00,9:30:00,Lecture,BE,ALL,Switchgear and Protection,9921
Thursday,9:30:00,10:30:00,Lecture,BE,ALL,Illumination Engineering,9235
Thursday,10:45:00,11:45:00,Lecture,BE,ALL,Advanced Electricel Drives & Central,9954
Thursday,11:45:00,12:45:00,Lecture,BE,ALL,Switchgear and Protection,9921
Thursday,13:30:00,15:30:00,Lecture,BE,ALL,TPO Activity,9235
Thursday,15:30:00,17:00:00,Lecture,BE,ALL,Test Subject,9865
Friday,8:30:00,10:30:00,Lecture,BE,ALL,Project,9780
Friday,10:45:00,12:45:00,Lecture,BE,ALL,Project,9780
Friday,13:30:00,15:30:00,Lecture,BE,ALL,Project,9780
Friday,15:30:00,17:00:00,Lecture,BE,ALL,Test Subject,9865
